,,,,LGGE Grenoble,,,,University of Bern,,,,University of Bern,,,,,LGGE Grenoble,,,,University of Bern,,,,,LGGE Grenoble,,,,University of Bern,,,,,,University of Bern,,,,,,Oregon State University,,,,,LGGE Grenoble,,,,,LGGE Grenoble,,,,,University of Bern,,,,,University of Bern,,,,,CSIRO Australia,,Oregon State University,,,,University of Bern,,,,,,CSIRO Australia,,,,,,,,Oregon State University,,,,Oregon State University,,,,,Oregon State University,,,,University of Bern,,,,,,
"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),tentatively synchronized on EDC3 gasage (yr),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),"Gasage (TALDICE-1a, yr BP)","Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,Depth (m),"Age (Ahn et al., 2008)",tentatively synchronized on AICC2012 based on synchronization applied in Bereiter et al. (2012),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),"Gasage (MacFarling Meure et al., 2006, yr BP)",CO2 (ppmv),Depth (m),"Gasage (WDC06A-7, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,Site code,Sample type,Depth (m),"Gasage (Rubino et al., 2013, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (tuned to GICC05/AICC2012 by Ahn et al. (2014), yr BP)",CO2 (ppm),sigma mean CO2 (ppmv),depth (m),"Gasage (tuned to GICC05/AICC2012 by Ahn et al. (2014), yr BP)",age uncertianty (yr),CO2 (ppm),uncertainty (ppm),Depth (m),"Gasage (WDC06A-7, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (AICC2012, yr BP)",corrected CO2 (ppmv),analytical sigma mean CO2 (ppmv),Correcting Factor (ppmv),lower bound (2 sigma) of correction F. (ppmv),upper bound (2 sigma) of correction F. (ppmv)
,,,,3090.51,326321,328086.81000000006,266.1,,,,,3046.05,642405,642079.8181818184,190.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,488.29,803.7130999999999,284.510584449478,1.267128774238816,284.510584449478,1.267128774238816,,,,,,,,,,2498.284,19568.151,192.95303905155185,0.24551001470689301,3146.0595000000003,743959.0763636365,188.17959977716015,0.9098234696957471,6.980438735000007,5.769,8.1813
,,,,3093.51,326972,328770.75000000006,270.1,,,,,3046.42,643204,642851.4363636363,190.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,499.38,834.3911,282.8416314024614,0.941787036540014,282.8416314024614,0.941787036540014,,,,,,,,,,2500.2735000000002,19629.493,195.41876528996985,0.586308975486151,3146.5229999999997,744523.1418181813,188.96881973948896,0.8979745666580884,7.0073819899999705,5.7885,8.2157
,,,,3096.46,327590,329414.29,271.9,,,,,3047.12,644662,644311.2545454539,194.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,505.85,850.5902000000001,283.0944582572788,0.6350073818401468,283.0944582572788,0.6350073818401468,,,,,,,,,,2505.2735000000002,19791.188,197.60063929670704,0.5303197486983406,3147.4749999999995,745671.0454545448,187.29232436787936,1.2426789240540344,7.06272174999998,5.8281,8.2868
,,,,3099.51,328221,330053.32500000007,275.1,,,,,3047.52,645470,645145.4363636359,194.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,515.97,879.7973,282.8444160166049,0.9417870620945465,282.8444160166049,0.9417870620945465,,,,,,,,,,2508.187,19883.882,200.05515178135056,0.4220959629087149,3148.262,746619.9260606065,190.24154927677864,0.42115080359992735,7.108470060000002,5.8606,8.3457
,,,,3105.51,329475,331293.55000000005,265,,,,,3048.16,646723,646372.1757575754,188.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,523.43,900.82294,280.9667443357615,0.6349785049296485,280.9667443357615,0.6349785049296485,,,,,,,,,,2512.29,20018.696,197.72302093582547,0.7503628445232208,3148.723,747177.0375757577,187.91988159174213,0.31799000349426576,7.1352679899999885,5.8795,8.3804
,,,,3109.01,330208,332144.11500000005,271.7,,,,,3048.62,647588,647250.0787878787,190.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,526.94,909.92083,280.9161701585891,0.9417694265601158,280.9161701585891,0.9417694265601158,,,,,,,,,,2518.293,20213.307,194.47301770392272,1.2132922929495944,3149.3545,747940.1957575758,187.95228432826852,1.2727042394874546,7.17197708499998,5.9053,8.428
,,,,3111.51,330740,332798.62000000005,272.6,,,,,3049.36,648946,648612.4181818187,192.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,534.15,930.72784,280.06452973881244,0.634966325632589,280.06452973881244,0.634966325632589,,,,,,,,,,2524.2855,20407.601,193.99022495118814,0.65425815677705,3149.6827500000004,748336.8809090916,187.54375693792414,0.8433095140470652,7.191058257500032,5.9187,8.4528
,,,,3114.81,331438,333500.08999999997,273.1,,,,,3049.72,649598,649187.109090909,194.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,534.38,932.42209,279.7987034131486,1.3420371933367057,279.7987034131486,1.3420371933367057,,,,,,,,,,2528.35,20536.804,197.92595404672443,0.6926066273540084,3150.4545000000003,749262.9345454549,188.67887489361217,1.262406998466751,7.235920085000004,5.9499,8.5113
,,,,3117.51,331944,333997.55500000005,282.4,,,,,3050.45,650891,650352.4545454545,187.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,546.04,967.34583,278.7402401551619,1.4115736949859394,278.7402401551619,1.4115736949859394,,,,,,,,,,2532.3965,20666.489,191.76130879373025,0.9299760179274259,3150.9147999999996,749814.1786666662,190.17483689562673,1.7559892034321856,7.262677323999981,5.9685,8.5463
,,,,3119.51,332285,334349.49500000005,289.1,,,,,3050.82,651556,650943.1090909095,192,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,554.28,992.34736,277.4071684030988,0.4125472485974409,277.4071684030988,0.4125472485974409,,,,,,,,,,2537.351833333333,20828.392,196.65750201107113,1.0946641302511946,3151.6515,750706.4409090908,192.07592238803636,1.5705611513082027,7.305501695000004,5.998,8.6025
,,,,3120.61,332462,334543.885,288.4,,,,,3051.55,652802,652112.272727273,185.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,568.66,1035.87184,280.10552589040225,2.213895624951041,280.10552589040225,2.213895624951041,,,,,,,,,,2541.3038333333334,20964.428,194.87078412905063,0.817552208158084,3151.9124999999995,751036.2499999993,191.29603626015793,1.3840358241033597,7.320673624999955,6.0084,8.6224
,,,,3123.51,332919,335102.30500000005,298.6,,,,,3051.92,653448,652704.9454545457,185.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,581,1074.5898,279.42044060983585,1.4115778043264595,279.42044060983585,1.4115778043264595,,,,,,,,,,2544.2974999999997,21067.69,192.40117180397905,0.8671811282576847,3152.6544999999996,751973.8681818177,193.54717137122026,1.8834206894219847,7.363806084999965,6.0378,8.6792
,,,,3126.51,333380,335707.51000000007,278.1,,,,,3052.56,654473,653726.3999999999,191.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,598,1127.67222,278.62300321449914,1.4115729877252574,278.62300321449914,1.4115729877252574,,,,,,,,,,2548.497,21212.702,194.05178294941018,0.06844865543898428,3153.123,752565.8818181817,197.49572596202373,1.299814586973093,7.391039989999996,6.0563,8.7152
,,,,3129.91,333890,336377.54,285.8,,,,,3053.02,655202,654434.7999999999,193.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,608.23,1156.8950399999999,279.72469920818,2.2138941536319328,279.72469920818,2.2138941536319328,,,,,,,,,,2552.31675,21345.184,191.24278170075527,1.161275436474382,3153.7845,753489.0690909092,195.43388919380428,0.34071159513423005,7.429492984999996,6.0823,8.766
,,,,3132.41,334261,336867.81999999995,278.6,,,,,3053.73,656286,655528.2,198.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,617.735,1187.70454,279.29371083930937,2.2138924909272033,279.29371083930937,2.2138924909272033,,,,,,,,,,2558.438,21562.853,189.22605259203294,0.3063097987544152,3154.1025,753934.6545454543,203.90279658442103,1.8398664573343373,7.447978325000008,6.0948,8.7906
,,,,3135.51,334748,337516.67000000004,270.5,,,,,3054.12,656882,656128.7999999997,198.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,626.26,1219.5665,279.9902637416671,0.41260056781921073,279.9902637416671,0.41260056781921073,,,,,,,,,,2564.8685,21790.593,191.9571766507431,0.21874802841448615,3154.957,755114.5775757573,199.04605364141202,1.700036765249698,7.497650409999977,6.1281,8.8566
,,,,3138.51,335287,338213.50000000006,255.7,,,,,3054.85,657923,657184.6969696967,191.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,634.65,1248.75007,277.098940914164,0.4125409188336744,277.098940914164,0.4125409188336744,,,,,,,,,,2568.341,21913.629,194.7825043804128,0.9521422657387056,3155.3230000000003,755586.8284848488,203.2996954570858,1.5268927099251228,7.518925990000014,6.1423,8.8849
