,year,ch4
606,-397465,580.4
607,-397070,592.9
608,-396644,608.3
609,-396224,612.3
610,-395811,600.0
611,-395388,605.0
612,-394964,590.1
613,-394573,601.8
614,-394107,594.0
615,-393604,602.7
616,-393178,585.2
617,-392727,593.5
618,-392245,549.6
619,-391748,562.0
620,-391243,484.9
621,-390715,498.4
622,-390195,489.2
623,-389581,488.4
624,-389024,505.8
625,-388440,525.2
626,-387821,567.8
627,-387165,471.5
628,-386472,452.4
629,-385817,462.7
630,-385227,531.0
631,-384664,637.3
632,-384079,594.1
633,-383501,577.0
634,-382907,552.5
635,-382340,560.9
636,-381763,536.4
637,-381175,481.6
638,-380596,587.4
639,-380005,600.6
640,-379472,547.9
641,-378913,543.7
642,-378306,547.7
643,-377756,484.5
644,-377168,494.1
645,-375379,442.0
646,-374756,444.6
647,-374155,432.9
648,-373500,425.9
649,-372835,426.2
650,-372141,445.2
651,-371516,451.1
652,-370943,540.3
653,-370377,523.4
654,-369812,501.6
655,-369183,491.1
656,-368546,508.2
657,-367967,517.9
658,-367373,444.0
659,-366788,421.8
660,-366124,421.7
661,-365480,459.5
662,-364899,403.1
663,-364256,415.8
664,-363627,460.1
665,-362992,416.2
666,-362318,448.5
667,-361698,413.3
668,-361092,486.5
669,-360490,432.7
670,-359892,465.9
671,-359271,420.2
672,-358562,415.1
673,-357913,456.2
674,-357252,417.6
675,-356624,416.7
676,-355907,431.1
677,-355244,434.6
678,-354553,420.4
679,-353891,404.2
680,-353255,402.9
681,-352586,405.8
682,-351893,395.3
683,-351272,404.8
684,-350695,397.3
685,-349809,403.3333333
686,-349475,414.2
687,-348505,402.3333333
688,-348219,391.8
689,-347395,406.6666667
690,-347095,459.0
691,-346222,421.3333333
692,-345901,403.1
693,-345253,417.0
694,-344658,391.3
695,-343728,389.3333333
696,-343401,373.95
697,-342532,368.0
698,-342161,374.5
699,-341470,365.8
700,-340886,370.4
701,-339890,393.6666667
702,-339541,395.4
703,-338576,439.0
704,-338259,449.3
705,-337446,459.6666667
706,-337172,464.5
707,-336657,444.9
708,-336615,445.0
709,-336150,452.5
710,-335464,486.0
711,-335237,485.8
712,-334702,504.0
713,-334493,496.2
714,-333995,531.0
715,-333798,537.0
716,-333360,566.0
717,-333212,569.6
718,-332827,597.0
719,-332687,580.7
720,-332336,652.0
721,-332193,631.0
722,-331888,607.3333333
723,-331768,603.8
724,-331554,589.8
725,-331333,599.2
726,-331038,797.0
727,-330925,798.2
728,-330625,776.3333333
729,-330506,738.0
730,-330198,726.0
731,-330090,721.3
732,-329832,672.7
733,-329475,649.3333333
734,-329338,636.4
735,-328950,637.3333333
736,-328804,615.3
737,-328430,637.0
738,-328291,620.9
739,-327919,663.3333333
740,-327777,643.0
741,-327375,657.6666667
742,-327229,635.7
743,-326792,669.0
744,-326131,657.4
745,-325750,662.0
746,-325613,642.0
747,-325219,654.0
748,-325076,644.3
749,-324673,634.3333333
750,-324536,611.0
751,-324147,634.6666667
752,-323999,633.2
753,-323604,644.3333333
754,-323467,626.1
755,-323046,617.3333333
756,-322891,612.2
757,-322459,589.6666667
758,-322290,580.2
759,-321862,568.0
760,-321722,592.5
761,-321278,556.6666667
762,-321113,544.4975689
763,-320626,532.6666667
764,-320455,518.5
765,-319959,528.3333333
766,-319781,519.3
767,-319264,528.6666667
768,-319073,520.8
769,-318521,503.3333333
770,-318318,497.7
771,-317714,480.0
772,-317510,477.5
773,-316886,479.0
774,-316669,480.814851
775,-316059,480.0
776,-315850,444.6
777,-315280,458.6666667
778,-315077,464.5628105
779,-314522,515.3333333
780,-314339,607.3
781,-313812,635.3333333
782,-313614,597.7
783,-313094,606.0
784,-312904,618.2
785,-312348,634.0
786,-312159,552.9
787,-311600,568.3333333
788,-311435,547.5
789,-310919,540.3333333
790,-310722,522.2
791,-310100,516.0
792,-309912,514.5
793,-309283,517.0
794,-309077,469.5
795,-308482,492.6666667
796,-308246,460.6317615
797,-307610,460.3333333
798,-307372,466.5
799,-306719,509.3333333
800,-306499,477.8
801,-305844,465.6666667
802,-305605,458.7
803,-304918,485.0
804,-304688,459.3
805,-304054,448.6666667
806,-303852,451.118011
807,-303286,505.3333333
808,-303096,498.4591306
809,-302521,489.6666667
810,-302312,490.5700242
811,-301687,477.0
812,-301482,466.4
813,-300898,462.3333333
814,-300667,456.1942032
815,-300106,453.0
816,-299873,453.2
817,-299191,487.3333333
818,-298970,459.4
819,-298372,520.0
820,-298171,517.5
821,-297788,496.282263
822,-297140,518.0
823,-296942,518.8
824,-296235,490.6666667
825,-295995,466.6379345
826,-295315,505.0
827,-295109,487.551686
828,-294516,524.0
829,-294307,586.6
830,-293715,564.3333333
831,-293508,552.0
832,-292844,500.6666667
833,-292583,488.6
834,-291916,520.6666667
835,-291676,482.4
836,-291008,453.6666667
837,-290817,444.2
838,-290438,453.25
839,-290079,448.1
840,-289683,458.8
841,-289278,454.3
842,-288218,524.0
843,-287901,546.9
844,-287574,531.4
845,-287240,529.9
846,-286883,532.3
847,-286531,510.9
848,-286176,520.9
849,-285877,513.8
850,-285544,528.8
851,-285208,520.1520464
852,-284887,506.5
853,-284545,500.0
854,-284185,495.2
855,-283838,485.8
856,-283481,469.6
857,-283120,457.4
858,-282782,476.5
859,-282415,464.6
860,-282036,508.5
861,-281661,498.6
862,-281303,471.0
863,-280941,452.7
864,-280560,425.1
865,-280171,468.4
866,-279782,456.9
867,-279351,447.9
868,-278942,461.6
869,-278396,473.0
870,-278197,454.8
871,-277817,463.0
872,-277362,419.7
873,-276760,438.4
874,-276506,428.4489403
875,-275845,465.8
876,-275599,479.5
877,-275151,451.8451914
878,-274723,467.3
879,-274320,503.8
880,-273874,478.8
881,-273407,455.2
882,-272933,475.4
883,-272465,463.4
884,-271998,467.4
885,-271552,482.8
886,-270832,451.4
887,-270561,470.2
888,-269882,445.3710351
889,-269656,453.0
890,-269167,458.4
891,-268697,440.9
892,-268251,460.0
893,-267592,439.0
894,-267347,454.2
895,-266897,423.4
896,-266445,454.2
897,-266005,418.1
898,-265566,413.8
899,-265117,425.3
900,-264678,384.1851554
901,-264279,416.6
902,-263843,422.4
903,-263418,411.9
904,-263027,414.5
905,-262645,398.4
906,-262272,417.2
907,-261892,413.7
908,-261511,461.9
909,-261190,508.7
910,-260795,481.5
911,-260386,480.0
912,-259998,442.5
913,-259608,423.5
914,-259206,451.8
915,-258849,455.7
916,-258456,433.5
917,-258066,451.4
918,-257721,473.4
919,-257328,430.25
920,-256941,495.8
921,-256562,509.8
922,-256213,492.7
923,-255671,450.1
924,-255489,464.9
925,-255128,483.4
926,-254743,466.0
927,-254349,474.8
928,-254016,448.1
929,-253597,422.2
930,-253204,441.7
931,-252836,405.2
932,-252492,420.2
933,-251959,427.3
934,-251738,425.85
935,-251351,398.2
936,-250980,400.5
937,-250592,396.2
938,-250206,395.2
939,-249781,400.8
940,-248669,431.8
941,-248311,408.4
942,-247957,413.4
943,-247595,410.0
944,-247229,408.2
945,-246900,465.8
946,-246578,472.8
947,-246088,539.6
948,-245911,524.8
949,-245612,524.7
950,-245122,544.8
951,-244934,507.5
952,-244582,513.1
953,-244242,485.5
954,-243933,475.3
955,-243644,494.0
956,-243272,503.0
957,-243129,501.8
958,-242899,519.0
959,-242659,523.3
960,-242435,528.2
961,-242204,528.0
962,-241971,541.2
963,-241755,546.1
964,-241488,557.7
965,-241396,537.9
966,-240973,541.8
967,-240882,525.0
968,-240722,519.2
969,-240647,515.3333333
970,-240559,520.9
971,-240406,539.2
972,-240328,523.0
973,-240248,594.3
974,-240096,680.0
975,-240027,696.0
976,-239957,673.4
977,-239804,653.4
978,-239739,667.3333333
979,-239667,648.2
980,-239427,661.2333333
981,-239328,641.3
982,-239153,622.7
983,-239074,627.0
