year,co2,unc,sigma
-12884,228.4041873231957,,0.0110291329282242
-12894,227.87363187172843,,0.4104262711964586
-12907,233.1674385645637,,1.4724014735922233
-12919,232.22123314488175,,0.585239377410893
-12930,227.85150672131329,,1.1093788571105547
-12942,230.6301423785333,,1.2447439252123165
-12954,228.71528957073207,,0.5395654126703556
-12965,228.3587950722309,,0.5325917883752289
-12979,228.46979297537328,,0.3350768817452795
-13003,228.890295544307,,1.226772803877645
-13026,229.78672581367329,,2.0894914892990077
-13037,227.65098593922204,,1.2191716092428555
-13061,228.3650655244248,,1.018065793815664
-13084,225.38083520649624,,0.8388666319299413
-13122,228.9948074515769,,0.2411723892784443
-13145,234.47446894840783,,0.0233359951423495
-13183,229.6716065699829,,0.6306009719621629
-13206,228.8057322422929,,0.892789496928765
-13231,227.84358475209112,,1.037400495015162
-13268,230.18339813242304,,0.3284627174706834
-13293,228.26585961041695,,1.2143647518603298
-13330,225.77162913978188,,0.9195516847257944
-13370,227.64306095288396,,1.4176123107845846
-13395,228.9165200283857,,0.9571559874779072
-13432,225.38795165189697,,1.571230379506173
-13460,224.74311624898783,,0.7531820269617046
-13512,223.2710402890986,,1.3773982635521775
-13596,223.5305343345643,,0.3466603422308149
-13699,222.75834505097237,,1.3704689967578514
-13754,222.1576434042996,,0.5663781946920314
-13817,224.8571801594681,,1.8704061395520677
-13894,222.36468715588023,,0.4366582225045342
-13970,223.5107392974745,,0.6480784761033369
-13986,223.7681909549173,,0.6393346693740717
-14045,223.7224506956352,,2.06239685526959
-14048,224.4079901815647,,0.1776103007038581
-14064,222.39327867419095,,0.8930941956766976
-14083,224.4802221411913,,1.4333403503178488
-14133,224.242360124708,,0.8203411414003624
-14164,222.4115117516632,,1.3094348918523633
-14201,224.8625784974834,,1.0247434087216374
-14216,226.1908800011438,,0.0716974625952148
-14237,221.48984625503215,,1.1769051062662972
-14258,227.3244742360862,,1.212502893063355
-14272,223.2363153157684,,0.5538872168341893
-14290,220.48517092637948,,1.0594512637382951
-14310,218.56382460975144,,0.966786897208744
-14328,214.2212288682848,,0.5945526313029851
-14346,212.84367513227136,,0.745912624557757
-14367,214.5978424508933,,0.5964888338406239
-14387,212.4297076897044,,1.1881058980916346
-14404,214.8309479320241,,1.2030660182080497
-14424,211.2133503062316,,0.4998022380031932
-14441,209.50810411665643,,0.8157282831605934
-14460,212.94888538923,,0.9405088128858664
-14481,211.7934498012063,,1.807132802023743
-14508,217.18722610003744,,0.2790567632566083
-14522,213.9380167825644,,1.113412954793218
-14559,207.9470733853761,,0.1229786763499027
-14603,208.65010901966775,,0.5212325806217732
-14640,208.4614276166706,,0.8394990019249473
-14705,213.15469236971649,,0.8085332659341804
-14783,210.24939480334604,,1.101934659645912
-14847,205.5254887694144,,0.9617411013425472
-14919,205.18509194320177,,0.961741101338764
-14978,202.9290476816134,,0.6750299739442969
-15044,204.3247383426767,,1.0886961808547952
-15141,202.1012164231453,,1.0521531700623763
-15213,198.631089252931,,1.3007075917823727
-15286,198.29417538469403,,0.7766600772342452
-15337,195.87573909141443,,0.4971330239233743
-15361,194.651413175494,,0.2660479794116596
-15410,190.50284337603904,,0.909033112140748
-15435,193.02021337722056,,0.3938085890898871
-15460,191.8856673685563,,0.2694578865526365
-15484,190.75739808941375,,0.4652994158041325
-15510,193.00049226913703,,0.4611048613792651
-15535,191.4761142959414,,0.5012961161068531
-15560,191.5857343990861,,0.0542380374536482
-15584,192.37047527166976,,0.6055699337887396
-15611,192.6236483930915,,0.2986373335841488
-15636,196.9632882286796,,0.8635092288984562
-15662,195.79039289658348,,0.2391586375813789
-15687,193.21020619774924,,1.2286838327921574
-15715,194.3760035369042,,0.5550286988169382
-15741,191.5189594499656,,1.3346281819664174
-15767,189.5231390515472,,0.5643022523211347
-15793,190.411456374954,,0.239656168513672
-15819,191.7049630706334,,0.3308067986893602
-15847,187.25256339861124,,0.6621632763188716
-15875,191.20739896471937,,1.2382021197722488
-15904,189.51763426245728,,0.7190495298839523
-15930,190.2606131810841,,1.1923060852551808
-15957,191.7237910053392,,0.2614694074127526
-15985,188.54215704394005,,0.9821428247799516
-16015,188.6564989836098,,0.1048647815606699
-16042,188.9556833468375,,0.64306592821333
-16074,187.78531136917945,,1.0961213128518206
-16100,187.7267726989902,,0.4985092999193974
-16131,188.64072093684447,,0.4703207056745532
-16160,188.59044595252615,,1.480500952833287
-16189,184.87510819689115,,0.2282884933132277
-16223,189.0114574096496,,1.126510504571672
-16251,185.64837724764448,,0.952822393234912
-16282,188.87750852438725,,0.4724033625177601
-16314,188.52153443206024,,1.1571075398909414
-16345,189.03208526365853,,0.1926020989846884
-16374,187.1210722823276,,0.8372036055175979
-16410,188.73157502184156,,0.1824327443683655
-16441,188.2127161368506,,1.1573613101510056
-16472,188.46984987600771,,0.748352699525746
-16507,187.44688100668245,,1.0657551240083385
-16536,187.0879474951784,,0.7036592363884459
-16569,187.6657005045612,,0.1414082867377205
-16632,188.57060817148655,,0.6179556385846688
-16727,193.90294365325792,,0.5018461940485749
-16797,191.2709926696737,,1.0138678790995133
-16853,192.9746062473733,,1.0994077802463795
-16885,188.43646889385016,,0.822752675659307
-16916,188.49917580509657,,0.5266764309515646
-17043,192.7099140092297,,1.7470090692053926
-17202,191.0855048576497,,1.121009894025455
-17332,191.584282023408,,0.8431811380039504
-17492,191.51661846127155,,1.3004106764959464
-17618,188.95303905155183,,0.245510014706893
-17679,191.41876528996983,,0.586308975486151
-17841,193.60063929670704,,0.5303197486983406
-17933,196.05515178135056,,0.4220959629087149
-18068,193.72302093582547,,0.7503628445232208
-18263,190.47301770392272,,1.2132922929495944
-18457,189.9902249511881,,0.65425815677705
-18586,193.92595404672443,,0.6926066273540084
-18716,187.76130879373025,,0.929976017927426
-18878,192.65750201107116,,1.0946641302511946
-19014,190.87078412905063,,0.817552208158084
-19117,188.40117180397905,,0.8671811282576847
-19262,190.05178294941015,,0.0684486554389842
-19395,187.24278170075527,,1.161275436474382
-19612,185.22605259203291,,0.3063097987544152
-19840,187.9571766507431,,0.2187480284144861
-19963,190.7825043804128,,0.9521422657387056
-20105,187.38113959770783,,1.5500556335948474
-20280,191.2705275530216,,0.9882063740189296
-20342,187.2242115241,,0.4499999999993532
-20397,187.0216472475,,1.25
-20600,184.67921815,,0.1999999999999886
-20654,185.207494535,,1.6249999999999998
-20700,188.4866056205,,0.2299999999999897
-20799,190.0135889095,,0.2549999999999954
-20883,186.13368892427505,,0.125
-21044,189.397339585125,,1.125
-21063,190.53007546182505,,0.6449999999932948
-21157,190.08050149462505,,0.8249999999961194
-21235,188.6041093398,,0.869999999995999
-21326,197.67188495835,,1.2850000000033883
-21408,193.532820435975,,1.715000000000672
-21495,186.77935625475,,0.4649999999962196
-21650,187.985359152,,0.4059556626050127
-21923,183.12944747075,,0.0349999999999965
-22127,184.6823772,,0.6200000000021311
-22319,186.726894870075,,0.924999999998112
-22693,180.565516782075,,2.724999999999305
-23213,180.69369987575,,0.7849999999986874
-23401,182.66041686875,,0.0750000000000028
-23593,183.378918299,,0.6199999999962634
-23836,186.541161542,,0.579999999993848
-24066,184.51815170625,,0.4050000000067836
-24304,184.5716823558,,0.5150000000027465
-24365,183.7673068405,,0.529999999998045
-24510,186.0128248,,0.8100000000000934
-24587,185.5131813934,,0.5250000000019401
-24753,185.43660435787496,,0.3349999999957082
-24907,186.43114764435,,0.2249999999999943
-25004,188.0846282088,,0.8000000000041836
-25092,187.3935686286,,0.2100000000000079
-25134,186.271358966325,,0.0649999999999977
-25220,194.928153007,,0.4792123166703289
-25330,190.0614572262,,0.4700000000080128
-25491,191.953133708875,,0.8401128396427262
-25552,191.23379793375,,1.9150000000012248
-25599,191.5337587855875,,1.9441552364287011
-25636,191.95350057715,,0.379999999996584
-25711,191.46001174245,,0.6850000000005353
-25737,192.712370759625,,0.0750000000000028
-25764,190.6078690615,,1.6350000000018083
-25768,189.304523923175,,0.3150000000085556
-25870,187.586392521325,,0.8650000000017362
-25916,190.5849616488,,0.4900000000027678
-25935,189.27849064935,,0.115000000000009
-25977,188.98634898427505,,0.3949999999864722
-26023,189.286787345625,,0.3149999999970064
-26147,189.95757968037495,,0.6350000000014483
-26264,191.816137593,,0.2800000000000011
-26321,191.5941937651,,0.3200000000053114
-26419,192.63389865615,,1.66500000000237
-26463,189.156744422,,0.240000000000009
-26476,189.6458701976,,0.5600000000011746
-26627,193.1001041801,,0.0549999999999926
-26676,192.8154242622,,0.1550000000000011
-26774,193.80250764615,,0.2000000000000028
-26891,193.8897968002,,0.3400000000068137
-26952,192.68758991725,,0.5350000000032421
-26998,193.2594032754,,0.7299999999938761
-27058,192.8724796734,,0.4900000000027678
-27200,192.26433856792505,,0.1650000000000062
-27255,188.0966829643,,0.0349999999999965
-27299,192.39141674277,,0.9709449005998888
-27373,191.0119519104,,0.8900000000033877
-27416,189.82870639425,,0.3049999999999926
-27460,189.2132558424,,0.6607823645732186
-27659,189.24251845,,0.039999999999992
-27731,189.77280474485,,0.2450000000000045
-27792,191.28441196185,,0.2650000000000005
-27887,190.9669244527,,0.1599999999999966
-28002,191.375496743275,,1.2250000000032073
-28049,191.5673410079,,0.2249999999999943
-28151,188.2467783878,,0.5899999999962806
-28231,188.475316491,,0.6199999999962634
-28327,186.5173876995,,0.0799999999999983
-28362,185.9886464213,,0.600000000000485
-28450,184.2981804458,,0.3000000000000113
-28578,182.936081584225,,0.4349999999938179
-28762,187.1432812245,,0.2000000000000028
-28825,190.3322228457,,0.7299999999988598
-29155,187.999563507075,,0.0550000000000068
-29406,188.4753253155,,0.7800000000029627
-29574,189.946864958,,0.35999999998008
-29842,193.71283854975,,1.2250000000002377
-29868,192.9276430365,,1.125
-29983,192.507154839675,,0.1050000000000039
-30076,193.3257604058,,0.4300000000002301
-30129,193.90502757875,,1.1200000000023491
-30197,196.4166558834,,0.4900000000027678
-30200,196.9080549903,,1.3050000000009678
-30357,192.46518778166669,,1.936098597121701
-30411,195.247244775875,,0.2750000000000056
-30484,194.110429478875,,0.5250000000019401
-30561,194.606829741,,0.3700000000067174
-30644,194.4295742917,,0.4100000000031659
-30727,195.08012700165003,,0.2850000000000108
-30764,195.93861278715,,0.2600000000000051
-30863,199.302319209275,,2.5549999999999247
-30930,196.70181603277496,,0.804999999996869
-31059,196.32609642975,,0.4599999999867514
-31198,197.646004846875,,0.2150000000000033
-31467,196.89622890765,,0.5400000000038051
-31541,197.12526326695,,0.4100000000031659
-31605,197.79975641045,,0.2749999999999914
-31808,200.03106638475,,0.6850000000005353
-31891,195.627148340675,,0.744999999996109
-31935,195.2662323655,,0.4537375648746408
-31957,194.46060405395,,0.6649999999936803
-31975,194.47027317217496,,0.0349999999999965
-32007,196.47191999325,,0.4450000000057815
-32041,195.41091567172495,,0.3250000000058207
-32114,195.93175875275,,1.0150000000011066
-32240,194.8874767012333,,0.6165044831788826
-32300,195.7913334535,,0.7600000000027418
-32362,196.266613322,,0.2399999999999948
-32384,196.201852015,,0.324999999994627
-32606,199.6474818549,,0.7399999999986863
-32652,199.48892964,,0.6400000000049385
-32670,200.2924224414,,0.4300000000086905
-32697,198.89171239745,,0.979999999998111
-32760,197.16130487225,,1.195000000000448
-32875,202.795646976,,0.0300000000000011
-32916,203.0917776366,,0.4800000000079671
-33139,198.7828307793,,0.5749999999956976
-33215,203.60050857025,,0.3599999999901855
-33331,205.3761847385,,0.0999999999999943
-33387,204.46706210535,,1.2200000000008204
-33409,203.6185257355,,0.8700000000001806
-33433,201.35769286432503,,0.2550000000000096
-33495,200.29875552115,,0.804999999996869
-33547,201.06305549865,,1.0050000000016042
-33558,202.041266727,,0.8999999999946643
-33580,201.88660042935,,0.6500000000004478
-33617,201.8276293501,,0.9899999999966662
-33722,201.81310262977505,,0.2449999999999903
-33751,200.5019756069,,0.6299999999997875
-33904,203.2886587452,,1.0699999999962844
-33998,198.799944457875,,0.3650000000069052
-34136,204.123014498,,1.320000000001067
-34223,201.7797825328,,0.2300000000000039
-34311,200.09164615275,,0.6250000000058207
-34556,198.9617645275,,0.949999999998162
-34641,205.10239260525,,1.1350000000017078
-34719,203.76951759,,0.1599999999999966
-34762,203.7543230524,,0.0099999999999909
-34870,202.76033458287495,,1.1550000000016227
-34989,203.514345808,,0.2300000000000039
-35073,206.3568576216,,1.125
-35168,210.157174784,,0.8920951873796128
-35193,207.34584681975,,0.1599999999999966
-35346,208.25190909,,0.9500000000058209
-35352,209.65639176,,0.5861740355881742
-35388,206.586570978,,0.1200000000000045
-35481,212.5055286975,,1.469999999998404
-35511,209.8366778265,,0.5349999999964422
-35668,214.2958990008333,,0.398427464471128
-35697,212.135905967,,0.7150000000014083
-35827,212.09241359079,,1.6164170253985015
-35945,214.2064208262,,1.0899999999963843
-36050,211.213425214,,0.6800000000029275
-36138,214.3603925775,,1.4849999999992864
-36215,208.335059710425,,0.5850000000064973
-36242,206.5229252229,,0.4500000000074376
-36334,207.411157001,,0.1700000000000016
-36409,207.99977968,,0.6700000000022761
-36462,210.7947524055,,0.6400000000049385
-36522,207.2301825856,,0.039999999999992
-36583,210.07869060075,,0.4045711034847457
-36623,208.23327262075,,1.98499999999778
-36671,204.7919056404,,0.45999999999466
-36720,204.455553872625,,0.7428702780432987
-36773,206.543994036,,0.305341339050326
-36862,206.085787558,,0.2564067948484305
-36924,205.650989878,,0.019999999999996
-37005,205.98808959113333,,1.3127621431337817
-37026,202.3448524395,,1.4150000000013492
-37103,204.2829889158,,0.6750000000071142
-37170,207.323585223,,0.2000000000000028
-37315,208.685091262475,,1.6950000000023764
-37353,209.495641888,,0.4700000000002724
-37369,209.326456305,,0.4849999999891146
-37389,207.868080375675,,0.7850000000033219
-37429,204.77737582488,,1.0611145084291942
-37452,191.53156337775,,0.9049999999983728
-37504,198.138503631,,1.0315279928331738
-37565,200.402973875925,,1.3649999999976887
-37671,195.70159247466665,,2.0779837984622525
-37759,196.6742707386,,1.0599999999995222
-37807,193.581354240625,,1.1550000000016227
-37934,193.873098888,,0.2003330560175495
-37950,197.55250733926664,,0.6702569988090663
-38092,192.5956555545,,2.213300702571336
-38162,193.08131430805,,0.444999999989431
-38195,193.690311850125,,0.4150000000024965
-38358,197.90454896091208,,1.3930725903897043
-38535,201.32268604261677,,1.3724813828002622
-38603,201.48445246633037,,1.0892403637428787
-38804,200.46615960740988,,0.7441562013443747
-38957,200.96619797440223,,1.9203545824214685
-39217,201.5320304267976,,1.8798664059500017
-39353,204.18539759772148,,1.544991580352578
-39655,205.4900663672548,,0.9872666419557048
-39809,201.12434903906265,,1.0021199469320117
-39950,199.89056576724948,,1.3635850489019288
-40365,200.8960917386434,,1.2433347740954794
-40678,204.82674347655345,,0.1915457102241664
-40899,206.35415471090323,,1.0698409764578276
-41018,204.26047843855287,,0.7594749648436543
-41221,203.1620719019197,,1.4258914397439997
-41400,201.66462398159248,,1.8134385343562365
-41565,204.2219503591491,,0.8616038364003018
-41711,203.18091908152516,,1.0517697107880737
-41859,201.68967291161368,,1.1313123305171475
-42145,204.30591912829976,,0.9218977869079986
