year,co2,ch4,temp
-9522,269.09658248435426,0.0,0.0
-9540,267.1659882944808,0.0,0.0
-9557,267.66344435702626,0.0,0.0
-9573,269.5087267559184,0.0,0.0
-9593,266.8975316078414,0.0,0.0
-9609,262.7402713424808,0.0,0.0
-9626,267.0926460402798,0.0,0.0
-9642,260.7019637596007,0.0,-55.65
-9661,261.3035570908851,0.0,0.0
-9678,266.2202091929294,0.0,0.0
-9697,257.13429330946656,0.0,0.0
-9714,247.5528586529488,0.0,0.0
-9732,254.6155973344712,0.0,0.0
-9751,253.99089690085395,0.0,0.0
-9769,256.0430608603061,0.0,0.0
-9790,255.89086904448925,0.0,0.0
-9809,258.7419682040664,0.0,0.0
-9830,258.24947010276907,0.0,0.0
-9852,258.53058047537485,0.0,0.0
-9870,257.16871076552565,0.0,0.0
-9893,254.31017470730887,0.0,0.0
-9913,253.6295799831633,0.0,0.0
-9933,251.56174454316204,0.0,-56.61
-9954,255.8965753132392,0.0,0.0
-9976,258.57498699245264,0.0,-57.28
-9998,248.91570205793047,0.0,0.0
-10019,253.9931437879996,0.0,0.0
-10040,255.3912977602452,0.0,0.0
-10065,247.85064164274337,0.0,0.0
-10087,248.4071332197136,0.0,0.0
-10108,253.0980369479649,0.0,0.0
-10129,251.03138662276533,0.0,0.0
-10155,255.6570401748525,0.0,-58.94
-10174,253.01913649818056,0.0,0.0
-10196,251.13879991205624,0.0,0.0
-10218,251.42428040746907,0.0,0.0
-10240,250.96816256782247,0.0,0.0
-10261,249.6533400802813,0.0,0.0
-10282,249.2318205544177,0.0,0.0
-10306,248.95174624217293,0.0,0.0
-10330,249.37721064234103,0.0,0.0
-10351,248.9240190698803,0.0,0.0
-10371,250.7315436936512,0.0,0.0
-10393,246.9665079337188,0.0,0.0
-10415,244.30941964788175,0.0,0.0
-10438,243.00399847303908,0.0,0.0
-10459,246.4034368607132,0.0,0.0
-10481,247.67023851530325,0.0,0.0
-10504,245.828192028346,0.0,0.0
-10525,246.1791753476704,0.0,0.0
-10545,244.42282246806465,0.0,0.0
-10571,246.7361603977909,0.0,0.0
-10593,249.9226267174943,0.0,0.0
-10614,244.27496932125192,0.0,0.0
-10636,247.01866418752644,0.0,0.0
-10657,248.09151906637945,0.0,0.0
-10679,246.94327763185444,0.0,0.0
-10703,243.94829999483665,0.0,0.0
-10723,242.52904430354567,0.0,-58.38
-10747,244.24252191664183,0.0,0.0
-10769,241.5919394471499,0.0,0.0
-10789,247.29878007926465,0.0,0.0
-10812,240.0194403921716,0.0,0.0
-10835,241.4960201489729,0.0,0.0
-10859,242.23335017876877,0.0,0.0
-10880,242.14661205332536,0.0,0.0
-10902,239.34501708789696,0.0,0.0
-10923,241.2383063619222,0.0,0.0
-10943,239.43542944264075,0.0,0.0
-10967,238.7942418996904,0.0,0.0
-10989,238.17670710529904,0.0,0.0
-11009,240.7072616624785,0.0,0.0
-11030,237.14801820813656,0.0,0.0
-11051,239.41877622767905,0.0,0.0
-11071,234.67711437690164,0.0,0.0
-11093,238.86480110696388,0.0,0.0
-11116,237.9090254487845,0.0,0.0
-11138,241.5552999030114,0.0,0.0
-11178,234.8172845805215,0.0,0.0
-11222,236.9100647065016,0.0,0.0
-11266,239.4098936541896,0.0,0.0
-11316,240.4197733780046,0.0,0.0
-11354,236.8602209016533,0.0,0.0
-11468,237.82629259075324,624.8581951,0.0
-11536,240.25427358439865,0.0,0.0
-11581,235.8255291423037,0.0,0.0
