year,co2
1911,298.10624698316605
1910,297.86910679162327
1909,301.50413540464433
1906,299.62686294971274
1906,297.32821856127947
1906,299.0235966178361
1904,295.9913578166476
1902,295.6106368299745
1901,294.22072160003313
1899,297.0473645165553
1899,295.2814574829282
1894,293.80883068272027
1894,293.16654166689625
1894,295.3164626735822
1893,294.8594308441452
1893,295.17192926023625
1890,290.9175394046256
1890,292.3423879392772
1888,294.34178746728605
1886,288.1157636999787
1885,289.2265988139854
1884,289.7624132149648
1883,292.46393479402104
1880,287.7707291897673
1877,289.3281310647417
1874,291.5581974658393
1873,286.6550967370638
1871,286.32578146070443
1870,287.9864944292303
1869,289.53614491302415
1868,287.9922513016967
1867,285.05229227816864
1865,286.65415816058197
1863,285.3533187571561
1862,287.17456217295097
1859,286.6330756116753
1857,283.16210074754474
1855,285.56557722684016
1854,288.05443747992655
1852,285.4658308627274
1851,288.7903954001126
1851,284.00163402345765
1848,286.839237474432
1846,283.6198856894272
1845,283.1828720355646
1845,283.5311237194569
1844,281.58148260537183
1841,283.6545457229947
1837,284.151983964357
1834,283.82039231033946
1833,285.0861666968484
1827,285.90893992625405
1825,281.3603652847592
1814,284.43128758236145
1800,282.7995518984052
1797,280.40443666000317
1796,282.3047106620081
1795,281.61711795078935
1781,273.07371696468044
1780,280.23629818436876
1774,277.8559524780317
1764,276.3961020284933
1763,277.15568662096365
1753,278.00200109884094
1752,276.4573287163011
1750,277.6000738939942
1742,276.8090000432731
1734,278.3109424912346
1724,277.01330979867544
1723,278.27011023020174
1695,277.35805088594464
1690,276.3246167739362
1682,276.6596678045921
1650,278.0152295252318
1640,276.6872122505445
1629,273.78076231204557
1610,271.10903046702873
1604,275.066577843599
1591,279.3568610690018
1589,281.10892823134105
1574,282.5698274885973
1560,281.82904146165555
1550,283.5296825674026
1530,283.94789036843633
1502,283.1247803916497
1470,280.3125047226672
1450,282.22658040584827
1429,279.7256958832981
1411,279.6965499485699
1391,280.9115788303861
1349,278.3621212274177
1331,284.0676432722511
1308,281.5784089788515
1279,278.4312489162189
1260,282.199286054067
1252,282.41311047504325
1211,283.68828915610504
1200,284.54004420226613
1166,283.9659747066713
1147,284.510584449478
1116,282.8416314024614
1100,283.0944582572788
1071,282.8444160166049
1050,280.9667443357615
1041,280.9161701585891
1020,280.06452973881244
1018,279.7987034131486
983,278.7402401551619
958,277.4071684030988
915,280.10552589040225
876,279.42044060983585
823,278.62300321449914
794,279.72469920818
763,279.29371083930937
731,279.9902637416671
702,277.098940914164
670,278.45496800258206
637,279.58805021854124
615,277.86971612986054
583,276.19603745957005
558,278.4608975547629
552,276.5590465243607
518,276.78951906858396
489,277.1056915049757
437,279.9999146746923
407,279.12520908544417
385,277.24691789826335
358,277.79537780888165
318,281.692138914424
296,280.9089598541969
275,280.2444922059889
267,278.31439989271746
241,280.24908719030117
175,277.55589209790946
154,278.0719954240161
136,278.1
104,277.5
56,277.4
30,277.9
1,276.7
-49,278.0
-143,276.9
-284,276.7
-315,276.7
-464,277.6
-576,277.9
-678,273.9
-758,278.9
-851,275.3
-954,274.7
-998,276.3
-1106,274.6
-1305,276.3
-1333,273.1
-1481,274.0
-1578,275.0
-1694,273.4
-1743,273.0
-1856,271.5
-1906,275.4
-2018,274.9
-2158,271.7
-2255,271.6
-2325,272.8
-2392,271.5
-2544,271.1
-2642,269.1
-2697,269.8
-2823,271.5
-2971,270.7
-3031,269.3
-3136,268.6
-3268,269.8
-3361,267.6
-3407,265.3
-3583,265.2
-3631,267.6
-3807,265.9
-3902,265.5
-3984,260.7
-4049,266.7
-4139,265.5
-4351,263.2
-4387,262.7
-4451,261.2
-4622,261.1
-4732,259.4
-4819,262.1
-4930,262.9
-5020,258.1
-5088,257.6
-5238,262.3
-5324,263.0
-5455,260.7
-5547,258.4
-5711,260.1
-5769,260.4
-5910,259.7
-5976,259.2
-6025,260.8
-6166,259.6
-6244,259.3
-6401,258.3
-6509,261.3
-6596,260.7
-6760,261.8
-6831,259.0
-6961,260.9
-7042,260.4
-7110,259.3
-7193,262.0
-7345,263.7
-7411,263.8
-7486,265.2
-7568,260.6
-7574,260.9
-7605,263.0
-7623,263.8
-7951,264.4
-8042,264.2
-8184,264.0
-8242,263.4
-8349,265.7
-8416,264.9
-8555,267.5
-8730,266.9
-8851,266.0
-8885,265.1
-9004,267.6
-9139,264.8
-9211,264.8
-9235,265.0
-9250,265.3
-9306,264.4
-9366,264.1
-9389,264.8062514925239
-9433,264.8396344162771
-9449,268.1638827775123
-9467,264.4831386910426
-9485,270.14345909208504
-9503,268.86948241809176
-9522,269.09658248435426
-9540,267.1659882944808
-9557,267.66344435702626
-9573,269.5087267559184
-9593,266.8975316078414
-9609,262.7402713424808
-9626,267.0926460402798
-9642,260.7019637596007
-9661,261.3035570908851
-9678,266.2202091929294
-9697,257.13429330946656
-9714,247.5528586529488
-9732,254.6155973344712
-9751,253.99089690085395
-9769,256.0430608603061
-9790,255.89086904448925
-9809,258.7419682040664
-9830,258.24947010276907
-9852,258.53058047537485
-9870,257.16871076552565
-9893,254.31017470730887
-9913,253.6295799831633
-9933,251.56174454316204
-9954,255.89657531323917
-9976,258.57498699245264
-9998,248.91570205793047
-10019,253.9931437879996
-10040,255.3912977602452
-10065,247.85064164274337
-10087,248.40713321971356
-10108,253.09803694796494
-10129,251.03138662276533
-10155,255.6570401748525
-10174,253.01913649818056
-10196,251.13879991205624
-10218,251.42428040746907
-10240,250.96816256782247
-10261,249.6533400802813
-10282,249.23182055441774
-10306,248.95174624217293
-10330,249.37721064234103
-10351,248.9240190698803
-10371,250.73154369365116
-10393,246.9665079337188
-10415,244.30941964788178
-10438,243.00399847303908
-10459,246.4034368607132
-10481,247.67023851530323
-10504,245.828192028346
-10525,246.17917534767042
-10545,244.42282246806465
-10571,246.7361603977909
-10593,249.9226267174943
-10614,244.27496932125192
-10636,247.01866418752644
-10657,248.09151906637942
-10679,246.94327763185444
-10703,243.94829999483662
-10723,242.52904430354567
-10747,244.24252191664183
-10769,241.5919394471499
-10789,247.29878007926465
-10812,240.01944039217156
-10835,241.49602014897292
-10859,242.23335017876875
-10880,242.14661205332536
-10902,239.34501708789696
-10923,241.2383063619222
-10943,239.43542944264073
-10967,238.7942418996904
-10989,238.17670710529902
-11009,240.7072616624785
-11030,237.14801820813656
-11051,239.41877622767902
-11071,234.67711437690164
-11093,238.86480110696388
-11116,237.90902544878452
-11138,241.5552999030114
-11178,234.8172845805215
-11222,236.91006470650157
-11266,239.4098936541896
-11316,240.4197733780046
-11354,236.86022090165332
-11468,237.82629259075324
-11536,240.25427358439862
-11581,235.8255291423037
-11650,243.85979844716996
-11695,238.54747522687632
-11762,241.59139134507328
-11808,241.11490412197253
-11877,239.08435072354874
-11921,237.95158516671214
-11990,240.5703386445421
-12051,235.91958262522573
-12072,237.8687866200197
-12110,241.26916500368534
-12134,232.88000615516702
-12170,236.39805979670948
-12206,239.23818680138615
-12229,239.36064776017062
-12255,238.3613364190683
-12287,236.59503531115416
-12323,240.21229536304708
-12348,239.03677680876376
-12358,235.8013722168602
-12393,242.07891889663432
-12404,238.39005888170098
-12424,240.3252352260465
-12460,242.5463915992586
-12472,242.60460298931037
-12493,240.9489026098227
-12513,238.61345734214723
-12547,242.05538663336657
-12570,241.14411641924522
-12581,243.17377294839466
-12591,235.8323421305916
-12602,241.729807649943
-12613,239.85999766133673
-12625,239.76503812675872
-12636,237.9659544143376
-12645,235.30951417343593
-12656,237.58632963935628
-12669,237.97072384125397
-12679,240.10202126482596
-12695,238.11592408247537
-12702,234.62208303328032
-12714,233.41678590018034
-12725,234.33541847308942
-12736,237.49243901935716
-12746,228.9069484734525
-12756,228.1794674192821
-12768,230.5296191365043
-12780,234.53668908061695
-12793,231.47501430697426
-12808,227.9025821178081
-12813,224.64412988292017
-12826,227.39272967198517
-12837,227.78536212593403
-12849,228.50250206425628
-12860,227.5760816830967
-12872,226.50690563613685
-12884,228.4041873231957
-12894,227.87363187172843
-12907,233.1674385645637
-12919,232.22123314488178
-12930,227.85150672131329
-12942,230.6301423785333
-12954,228.71528957073212
-12965,228.35879507223092
-12979,228.46979297537328
-13003,228.890295544307
-13026,229.78672581367329
-13037,227.65098593922204
-13061,228.3650655244248
-13084,225.38083520649624
-13122,228.99480745157686
-13145,234.47446894840783
-13183,229.67160656998294
-13206,228.8057322422929
-13231,227.84358475209112
-13268,230.18339813242306
-13293,228.26585961041698
-13330,225.77162913978188
-13370,227.64306095288393
