year,ch4
-13442,451.7
-13595,441.3803499
-13605,456.0
-13894,441.2
-13915,438.4386673
-13920,473.3
-14110,418.7
-14263,423.7
-14292,427.3
-14480,404.7
-14654,409.2
-14667,404.1524256
-14876,408.3
-14882,381.3
-15095,395.4
-15124,388.8398486
-15366,371.3
-15555,375.4
-15580,366.152
-15592,383.7
-15838,366.3
-15958,377.2381364
-15973,371.3
-16306,375.3
-16540,370.9
-16558,378.336
-16568,371.0
-16923,372.7418456
-16940,378.7
-17366,365.7
-17500,358.0826297
-17529,377.0
-17730,356.3
-17742,351.3
-18013,373.7419869
-18174,375.3
-18515,383.75
-18518,366.7327831
-18757,378.3
-19004,364.8082455
-19267,353.7
-19519,357.0
-19836,357.3
-20035,355.3
-20767,407.3
-20945,384.65
-21179,390.0
-21328,389.75
-21522,389.7
-21797,386.475
-21938,398.0
-22134,375.1
-22349,360.0
-22565,372.7
-22771,388.7
-22977,372.475
-23379,369.7
-23649,365.0
-23874,355.0
-24039,364.125
-24681,396.3
-24968,387.0
-25123,386.2
-25385,395.85
-25553,406.3
-25729,426.3
-25945,381.925
-26185,399.0
-26335,402.375
-26552,414.0
-26813,443.875
-27140,388.3
-27368,367.7
-27751,391.0
-28029,399.3
-28197,392.375
-28668,409.7
-28810,408.475
-29024,391.7
-29247,404.425
-29453,412.0
-29805,426.5
-29842,421.625
-29945,440.9
-30119,457.4
-30213,470.8
-30303,430.625
-30419,451.9
-30464,409.15
-30637,410.4
-30694,404.6
-30817,404.0
-30863,414.5
-30953,432.0
-31076,423.5
-31110,427.65
-31198,439.6
-31251,443.3
-31298,444.3
-31530,460.9
-31737,478.7
-31784,425.9
-31859,415.4
-31906,419.0
-32095,420.4
-32129,430.075
-32234,430.0
-32387,428.0
-32580,447.05
-32627,457.0
-32718,489.0
-32950,519.2
-32954,519.85
-32995,512.5
-33110,514.3
-33231,497.7
-33288,491.85
-33380,426.9
-33539,420.6
-33699,444.0
-33814,425.6
-33890,425.2
-33942,440.75
-34049,440.3
-34154,441.3
-34358,470.8
-34423,468.5
-34572,494.45
-34662,523.8
-34986,533.6
-35038,534.375
-35176,586.7
-35237,536.3
-35249,548.2
-35348,571.9
-35416,563.275
-35456,580.4
-35564,560.4
-35574,556.7
-35609,543.9
-35725,546.675
-35801,539.0
-35898,539.5
-35943,481.0
-36095,526.275
-36287,443.0
-36471,440.15
-36847,455.1
-37069,441.3
-37225,450.1
-37422,443.7
-37640,427.0
-37804,418.7
-37840,418.7
-37857,410.9
-38046,423.8
-38080,422.3
-38101,413.5
-38212,442.4
-38260,447.5
-38268,440.4028598
-38343,449.9
-38420,429.0
-38475,420.1
-38685,413.0
-38698,418.5
-38853,426.2
-38897,446.9
-38909,422.3833333
-39000,433.3
