year,ch4
-361092,486.5
-360490,432.7
-359892,465.9
-359271,420.2
-358562,415.1
-357913,456.2
-357252,417.6
-356624,416.7
-355907,431.1
-355244,434.6
-354553,420.4
-353891,404.2
-353255,402.9
-352586,405.8
-351893,395.3
-351272,404.8
-350695,397.3
-349809,403.3333333
-349475,414.2
-348505,402.3333333
-348219,391.8
-347395,406.6666667
-347095,459.0
-346222,421.3333333
-345901,403.1
-345253,417.0
-344658,391.3
-343728,389.3333333
-343401,373.95
-342532,368.0
-342161,374.5
-341470,365.8
-340886,370.4
-339890,393.6666667
-339541,395.4
-338576,439.0
-338259,449.3
-337446,459.6666667
-337172,464.5
-336657,444.9
-336615,445.0
-336150,452.5
-335464,486.0
-335237,485.8
-334702,504.0
-334493,496.2
-333995,531.0
-333798,537.0
-333360,566.0
-333212,569.6
-332827,597.0
-332687,580.7
-332336,652.0
-332193,631.0
-331888,607.3333333
-331768,603.8
-331554,589.8
-331333,599.2
-331038,797.0
-330925,798.2
-330625,776.3333333
-330506,738.0
-330198,726.0
-330090,721.3
-329832,672.7
-329475,649.3333333
-329338,636.4
-328950,637.3333333
-328804,615.3
-328430,637.0
-328291,620.9
-327919,663.3333333
-327777,643.0
-327375,657.6666667
-327229,635.7
-326792,669.0
-326131,657.4
-325750,662.0
-325613,642.0
-325219,654.0
-325076,644.3
-324673,634.3333333
-324536,611.0
-324147,634.6666667
-323999,633.2
-323604,644.3333333
-323467,626.1
-323046,617.3333333
-322891,612.2
-322459,589.6666667
-322290,580.2
-321862,568.0
-321722,592.5
-321278,556.6666667
-321113,544.4975689
-320626,532.6666667
-320455,518.5
-319959,528.3333333
-319781,519.3
-319264,528.6666667
-319073,520.8
-318521,503.3333333
-318318,497.7
-317714,480.0
-317510,477.5
-316886,479.0
-316669,480.814851
-316059,480.0
-315850,444.6
-315280,458.6666667
-315077,464.5628105
-314522,515.3333333
-314339,607.3
-313812,635.3333333
-313614,597.7
-313094,606.0
-312904,618.2
-312348,634.0
-312159,552.9
-311600,568.3333333
-311435,547.5
-310919,540.3333333
-310722,522.2
-310100,516.0
-309912,514.5
-309283,517.0
-309077,469.5
-308482,492.6666667
-308246,460.6317615
-307610,460.3333333
-307372,466.5
-306719,509.3333333
-306499,477.8
-305844,465.6666667
-305605,458.7
-304918,485.0
-304688,459.3
-304054,448.6666667
-303852,451.118011
-303286,505.3333333
-303096,498.4591306
-302521,489.6666667
-302312,490.5700242
-301687,477.0
-301482,466.4
-300898,462.3333333
-300667,456.1942032
-300106,453.0
-299873,453.2
-299191,487.3333333
-298970,459.4
-298372,520.0
-298171,517.5
-297788,496.282263
-297140,518.0
-296942,518.8
-296235,490.6666667
-295995,466.6379345
-295315,505.0
-295109,487.551686
-294516,524.0
-294307,586.6
-293715,564.3333333
-293508,552.0
-292844,500.6666667
-292583,488.6
-291916,520.6666667
-291676,482.4
-291008,453.6666667
-290817,444.2
-290438,453.25
-290079,448.1
-289683,458.8
-289278,454.3
-288218,524.0
-287901,546.9
-287574,531.4
-287240,529.9
-286883,532.3
-286531,510.9
-286176,520.9
-285877,513.8
-285544,528.8
-285208,520.1520464
-284887,506.5
-284545,500.0
-284185,495.2
-283838,485.8
-283481,469.6
-283120,457.4
-282782,476.5
-282415,464.6
-282036,508.5
-281661,498.6
-281303,471.0
-280941,452.7
-280560,425.1
-280171,468.4
-279782,456.9
-279351,447.9
-278942,461.6
-278396,473.0
-278197,454.8
-277817,463.0
-277362,419.7
-276760,438.4
-276506,428.4489403
-275845,465.8
-275599,479.5
-275151,451.8451914
-274723,467.3
-274320,503.8
-273874,478.8
-273407,455.2
-272933,475.4
-272465,463.4
-271998,467.4
-271552,482.8
-270832,451.4
-270561,470.2
-269882,445.3710351
-269656,453.0
-269167,458.4
-268697,440.9
-268251,460.0
-267592,439.0
-267347,454.2
-266897,423.4
-266445,454.2
-266005,418.1
-265566,413.8
-265117,425.3
-264678,384.1851554
-264279,416.6
-263843,422.4
-263418,411.9
-263027,414.5
-262645,398.4
-262272,417.2
-261892,413.7
-261511,461.9
-261190,508.7
-260795,481.5
-260386,480.0
-259998,442.5
-259608,423.5
-259206,451.8
-258849,455.7
-258456,433.5
-258066,451.4
-257721,473.4
-257328,430.25
-256941,495.8
-256562,509.8
-256213,492.7
-255671,450.1
-255489,464.9
-255128,483.4
-254743,466.0
-254349,474.8
-254016,448.1
-253597,422.2
-253204,441.7
-252836,405.2
-252492,420.2
-251959,427.3
-251738,425.85
-251351,398.2
-250980,400.5
-250592,396.2
-250206,395.2
-249781,400.8
-248669,431.8
-248311,408.4
-247957,413.4
-247595,410.0
-247229,408.2
-246900,465.8
-246578,472.8
-246088,539.6
-245911,524.8
-245612,524.7
-245122,544.8
-244934,507.5
-244582,513.1
-244242,485.5
-243933,475.3
-243644,494.0
-243272,503.0
-243129,501.8
-242899,519.0
-242659,523.3
-242435,528.2
-242204,528.0
-241971,541.2
-241755,546.1
-241488,557.7
-241396,537.9
-240973,541.8
-240882,525.0
-240722,519.2
-240647,515.3333333
-240559,520.9
-240406,539.2
-240328,523.0
-240248,594.3
-240096,680.0
-240027,696.0
-239957,673.4
-239804,653.4
-239739,667.3333333
-239667,648.2
-239427,661.2333333
-239328,641.3
-239153,622.7
-239074,627.0
-238987,610.9
-238810,615.7
-238720,616.0
-238628,609.2
-238440,599.0
-238353,605.6666667
-238262,600.7
-238076,591.8
-237984,597.0
-237885,594.15
-237711,562.3
-237624,577.3333333
-237540,566.1
-237318,563.8
-237203,578.6666667
-237098,564.5
-236998,559.15
-236897,549.0
-236803,587.6666667
-236690,549.2
-236464,549.7
-236368,566.0
-236158,553.7
-236030,557.1
-235924,565.0
-235815,539.0
-235482,547.65
-235359,545.1
-235158,543.1
-235041,554.0
-234911,529.3
-234661,518.4
-234439,511.9
-234150,481.15
-233969,508.15
-233742,498.8
-233477,478.2
-233128,461.9
-232987,519.2333333
-232731,452.5
-232480,433.4
-232199,425.5
-231924,429.9
-231642,456.8
-231377,429.2
-231102,419.4
-230811,434.2
-230483,440.2
-230184,432.8
-229894,429.3
-229454,431.4
-229259,428.8
-228913,417.3
-228571,456.2
-228230,506.3333333
-227927,474.3
-227470,464.3
-227310,472.5
-226991,471.4
-226642,489.5
-226297,516.8
-225938,490.5
-225582,504.3
-225235,502.6
-224763,546.8
-224587,547.0
-224306,532.0
