year,co2,ch4,temp
-85418,,,-59.99
-85473,,,-61.15
-85530,,,-61.49
-85591,,,-60.96
-85649,,,-61.34
-85707,,,-60.07
-85764,,,-61.94
-85823,,,-60.35
-85880,,,-61.47
-85940,,,-61.02
-85998,,,-60.54
-86054,,,-60.3
-86108,,,-60.25
-86164,,,-61.09
-86221,,,-61.02
-86279,,,-60.44
-86335,,,-61.38
-86395,,,-60.31
-86451,,,-60.92
-86509,,,-61.51
-86568,,,-60.19
-86624,,,-60.65
-86680,,,-60.77
-86737,,,-60.19
-86791,,,-59.76
-86844,,,-60.11
-86897,,,-59.6
-86949,,,-60.03
-87002,,,-59.6
-87055,,,-60.94
-87168,,,-60.14
-87224,,,-60.59
-87280,,,-60.66
-87336,,,-59.17
-87386,,,-59.39
-87436,,,-59.62
-87488,,,-59.34
-87538,,,-59.55
-87589,,,-59.75
-87642,,,-60.73
-87699,,,-60.61
-87755,,,-59.26
-87806,,,-59.67
-87858,,,-59.72
-87910,,,-60.02
-87963,,,-59.2
-88013,,,-58.39
-88061,,,-59.51
-88111,,,-59.89
-88218,,,-59.9
-88271,,,-59.96
-88323,,,-58.48
-88374,,,-60.87
-88429,,,-60.36
-88485,,,-59.82
-88538,,,-59.41
-88589,,,-61.27
-88650,,,-61.09
-88710,,,-60.88
-88768,,,-60.71
-88826,,,-60.42
-88883,,,-60.14
-88937,,,-59.38
-88988,,,-59.66
-89041,,,-60.17
-89096,,,-60.21
-89151,,,-59.66
-89205,,,-61.1
-89263,,,-60.26
-89320,,,-60.84
-89378,,,-60.37
-89434,,,-60.32
-89490,,,-61.23
-89549,,,-58.72
-89600,,,-59.45
-89651,,,-60.09
-89706,,,-60.54
-89763,,,-60.69
-89820,,,-59.77
-89875,,,-60.18
-89930,,,-60.11
-89985,,,-59.4
-90036,,,-59.8
-90090,,,-59.85
-90144,,,-59.83
-90198,,,-60.26
-90253,,,-60.35
-90310,,,-60.13
-90365,,,-59.77
-90417,,,-58.63
-90468,,,-59.69
-90520,,,-60.13
-90574,,,-59.37
-90627,,,-59.59
-90679,,,-58.71
-90729,,,-60.4
-90784,,,-59.19
-90835,,,-59.41
-90887,,,-59.38
-90939,,,-59.3
-90990,,,-59.87
-91045,,,-60.55
-91101,,,-59.1
-91153,,,-59.82
-91206,,,-59.66
-91260,,,-60.09
-91314,,,-58.88
-91365,,,-58.73
-91414,,,-59.07
-91464,,,-58.97
-91514,,,-59.28
-91567,,,-60.42
-91622,,,-59.55
-91675,,,-59.38
-91726,,,-58.03
-91775,,,-60.04
-91827,,,-59.23
-91879,,,-58.94
-91929,,,-59.28
-91981,,,-59.35
-92033,,,-59.17
-92084,,,-58.84
-92133,,,-58.89
-92183,,,-58.64
-92232,,,-58.72
-92281,,,-60.11
-92336,,,-58.49
-92385,,,-59.1
-92435,,,-59.91
-92490,,,-58.74
-92539,,,-59.43
-92592,,,-59.45
-92644,,,-59.55
-92698,,,-60.62
-92755,,,-59.18
-92807,,,-58.44
-92854,,,-57.23
-92898,,,-57.52
-92942,,,-58.67
-92991,,,-57.91
-93036,,,-58.13
-93083,,,-58.92
-93133,,,-58.64
-93182,,,-58.61
-93231,,,-59.32
-93283,,,-59.88
-93338,,,-59.44
-93391,,,-59.53
-93444,,,-59.83
-93498,,,-59.48
-93552,,,-59.42
-93605,,,-59.86
-93658,,,-59.04
-93711,,,-59.52
-93764,,,-59.76
-93817,,,-58.72
-93868,,,-59.46
-93921,,,-59.8
-93973,,,-57.73
-94022,,,-59.28
-94073,,,-60.36
-94129,,,-58.64
-94180,,,-59.3
-94231,,,-58.82
-94281,,,-58.23
-94329,,,-59.1
-94381,,,-59.73
-94435,,,-59.37
-94488,,,-58.19
-94535,,,-60.34
-94593,,,-59.65
-94647,,,-59.23
-94698,,,-58.32
-94748,,,-59.96
-94802,,,-58.79
-94854,,,-59.3
-94905,,,-58.74
-94956,,,-59.22
-95008,,,-59.2
-95061,,,-60.21
-95114,,,-58.06
-95165,,,-59.61
-95217,,,-58.72
-95268,,,-58.82
-95318,,,-58.72
-95368,,,-58.87
-95418,,,-58.67
-95469,,,-59.55
-95522,,,-59.33
-95574,,,-58.34
-95625,,,-59.96
-95679,,,-59.23
-95732,,,-59.36
-95785,,,-57.91
-95832,,,-58.7
-95882,,,-59.3
-95935,,,-59.63
-95989,,,-59.53
-96043,,,-59.28
-96095,,,-58.32
-96145,,,-58.96
-96195,,,-58.66
-96246,,,-59.94
-96300,,,-58.18
-96351,,,-59.85
-96405,,,-59.13
-96458,,,-59.09
-96509,,,-58.23
-96559,,,-59.14
-96609,,,-58.18
-96659,,,-59.32
-96712,,,-59.83
-96767,,,-59.65
-96822,,,-59.04
-96875,,,-59.8
-96929,,,-58.97
-96982,,,-60.16
-97039,,,-58.82
-97090,,,-59.2
-97143,,,-59.17
-97197,,,-60.37
-97255,,,-60.09
-97312,,,-59.66
-97367,,,-59.21
-97422,,,-59.78
-97477,,,-59.56
-97531,,,-59.2
-97585,,,-58.7
-97635,,,-59.71
-97691,,,-58.7
-97742,,,-58.67
-97792,,,-59.08
-97845,,,-59.03
-97898,,,-60.11
-97953,,,-58.8
-98007,,,-59.53
-98060,,,-58.82
-98112,,,-58.57
-98163,,,-59.38
-98216,,,-58.83
-98267,,,-58.39
-98318,,,-59.25
-98370,,,-58.98
-98423,,,-59.26
-98476,,,-58.29
-98526,,,-59.17
-98578,,,-58.52
-98629,,,-59.5
-98684,,,-59.07
-98737,,,-58.95
-98789,,,-58.8
-98840,,,-58.79
-98892,,,-58.42
-98942,,,-59.63
-98997,,,-59.42
-99052,,,-59.66
-99108,,,-59.4
-99162,,,-58.74
-99214,,,-58.87
-99266,,,-58.29
-99315,,,-58.04
-99364,,,-58.54
-99413,,,-57.29
-99460,,,-57.95
-99508,,,-59.01
-99559,,,-58.38
-99610,,,-59.34
-99663,,,-58.97
-99717,,,-59.19
-99770,,,-58.59
-99822,,,-59.14
-99875,,,-58.84
-99927,,,-58.84
-99979,,,-58.76
-100032,,,-59.52
-100087,,,-59.09
-100141,,,-58.91
-100193,,,-58.74
-100246,,,-59.4
-100302,,,-60.68
-100361,,,-59.24
-100417,,,-59.34
-100473,,,-59.63
-100529,,,-59.37
-100584,,,-59.27
-100639,,,-59.95
-100697,,,-58.82
-100751,,,-60.01
-100809,,,-60.08
-100868,,,-60.04
-100927,,,-59.74
-100985,,,-59.3
-101041,,,-60.45
-101102,,,-60.24
-101163,,,-60.72
-101225,,,-59.79
-101284,,,-61.47
-101351,,,-61.24
-101418,,,-60.76
-101482,,,-61.85
-101552,,,-61.48
-101620,,,-60.95
-101686,,,-61.79
-101755,,,-60.33
-101819,,,-61.39
-101886,,,-60.19
-101947,,,-60.75
-102010,,,-60.22
-102072,,,-60.17
-102133,,,-61.28
-102200,,,-60.66
-102262,,,-59.07
-102320,,,-60.14
-102380,,,-60.44
-102442,,,-59.98
-102502,,,-59.97
-102562,,,-59.79
-102621,,,-60.25
-102682,,,-59.75
-102741,,,-59.09
-102797,,,-59.4
-102854,,,-59.38
-102911,,,-59.14
-102967,,,-59.65
-103025,,,-59.48
-103082,,,-58.52
-103135,,,-59.35
-103193,,,-59.99
-103253,,,-60.1
-103313,,,-59.37
-103371,,,-59.29
-103429,,,-59.68
-103487,,,-59.39
-103545,,,-59.14
-103601,,,-59.25
-103658,,,-59.4
-103716,,,-59.66
-103775,,,-59.76
-103834,,,-59.63
-103893,,,-59.77
-103952,,,-58.04
-104005,,,-58.98
-104060,,,-59.32
-104116,,,-58.61
-104172,,,-59.01
-104227,,,-59.1
-104283,,,-58.44
-104337,,,-58.44
-104390,,,-58.66
-104444,,,-58.18
-104496,,,-58.44
-104549,,,-57.83
-104600,,,-58.09
-104651,,,-57.51
