year,rain
1998,118.0
1998,38.8
1998,124.2
1998,37.4
1998,35.9
1998,92.4
1998,70.0
1998,73.7
1998,67.2
1999,71.7
1999,34.1
1999,30.1
1999,57.1
1999,34.5
1999,55.1
1999,23.4
1999,95.5
1999,113.9
1999,27.3
1999,45.9
1999,67.9
2000,38.1
2000,44.8
2000,16.4
2000,87.3
2000,49.8
2000,27.0
2000,42.3
2000,70.8
2000,98.9
2000,75.5
2000,142.4
2000,113.0
2001,32.0
2001,43.9
2001,58.9
2001,57.1
2001,58.9
2001,38.9
2001,31.6
2001,73.2
2001,35.1
2001,84.1
2001,32.6
2001,16.4
2002,49.6
2002,117.1
2002,34.7
2002,74.6
2002,99.9
2002,65.0
2002,80.2
2002,42.0
2002,16.9
2002,166.1
2002,181.3
2002,106.7
2003,44.7
2003,22.3
2003,33.6
2003,36.0
2003,97.5
2003,68.9
2003,47.6
2003,14.7
2003,36.8
2003,116.3
2003,52.7
2003,59.8
2004,89.0
2004,17.2
2004,48.0
2004,35.8
2004,34.4
2004,54.9
2004,35.6
2004,115.1
2004,50.4
2004,131.2
2004,39.2
2004,44.3
2005,63.2
2005,42.3
2005,37.2
2005,43.7
2005,76.8
2005,24.4
2005,85.9
2005,29.1
2005,46.8
2005,99.7
2005,50.1
2005,61.2
2006,16.5
2006,35.3
2006,62.5
2006,33.7
2006,93.4
2006,26.9
2006,13.0
2006,77.9
2006,85.4
2006,88.3
2006,70.0
2006,93.0
2007,64.9
2007,59.5
2007,42.5
2007,8.2
2007,39.3
2007,144.2
2007,116.2
2007,106.9
2007,22.0
2007,19.7
2007,51.6
2007,57.9
2008,97.9
2008,11.4
2008,117.4
2008,32.1
2008,26.1
2008,80.7
2008,93.5
2008,203.8
2008,103.7
2008,103.9
2008,38.3
2008,43.0
2009,64.5
2009,70.2
2009,18.9
2009,60.5
2009,62.4
2009,75.2
2009,128.4
2009,53.7
2009,20.3
2009,85.3
2009,148.3
2009,82.5
2010,52.2
2010,38.7
2010,57.8
2010,20.8
2010,60.5
2010,36.8
2010,76.4
2010,38.7
2010,106.1
2010,29.8
2010,109.7
2010,65.6
2011,26.1
2011,77.1
2011,20.6
2011,28.5
2011,37.0
2011,73.6
2011,50.7
2011,33.3
2011,68.2
2011,164.8
2011,58.1
2011,47.7
2012,65.3
2012,18.7
2012,10.9
2012,83.7
2012,55.8
2012,173.7
2012,93.9
2012,70.8
2012,87.7
2012,70.9
2012,73.1
2012,43.4
2013,91.5
2013,52.1
2013,95.6
2013,38.0
2013,40.4
2013,28.1
2013,99.0
2013,34.2
2013,31.8
2013,104.9
2013,20.1
2013,78.6
2014,99.1
2014,90.4
2014,60.4
2014,38.9
2014,79.5
2014,34.0
2014,38.0
2014,193.4
2014,14.0
2014,94.7
2014,156.3
2014,57.0
2015,48.9
2015,29.2
2015,52.3
2015,41.3
2015,94.5
2015,11.7
2015,68.1
2015,86.8
2015,47.3
2015,40.9
2015,93.9
2015,175.6
2016,117.1
2016,55.4
2016,24.8
2016,69.1
2016,45.0
2016,72.1
2016,40.7
2016,80.2
2016,76.0
2016,38.3
2016,38.2
2016,46.5
2017,21.6
2017,63.7
2017,76.5
2017,6.7
2017,40.0
2017,103.5
2017,47.1
2017,73.6
2017,88.2
2017,43.2
2017,73.9
2017,62.6
2018,88.4
2018,27.0
2018,103.8
2018,61.6
2018,14.5
2018,5.3
2018,38.9
2018,43.9
2018,43.7
2018,46.3
2018,137.1
2018,83.8
2019,21.7
2019,19.5
2019,83.4
2019,72.2
2019,36.1
2019,77.8
2019,27.1
2019,77.7
2019,102.0
2019,76.3
2019,176.6
2019,59.2
2020,37.2
2020,147.8
2020,27.9
2020,11.6
2020,6.6
2020,77.4
2020,103.1
2020,57.9
2020,86.8
2020,41.4
2021,108.0
2021,56.8
2021,27.9
2021,9.8
2021,94.8
2021,12.7
2021,73.2
2021,36.7
2021,40.1
2021,83.7
2021,10.9
2021,95.6
2022,13.6
2022,89.1
2022,55.6
2022,33.4
2022,55.9
2022,47.4
2022,33.0
2022,18.7
2022,129.9
2022,114.4
2022,54.8
2022,77.7
2023,34.7
2023,14.1
2023,115.7
2023,70.7
2023,27.4
2023,26.8
2023,134.0
2023,116.3
2023,124.3
2023,116.1
2023,50.0
2023,60.3
2024,54.2
2024,81.3
2024,92.5
2024,55.9
